timestamp[s] pos_x[m] pos_y[m] pos_z[m] rot_x rot_y rot_z rot_w quality
451.968 0.943491 -2.27537 -14.4195 -0.0194361 0.0020234 0.998461 0.0518979 1
452.068 0.943756 -2.26074 -14.4186 -0.0180156 0.000922578 0.998522 0.0512586 1
452.168 0.942328 -2.2461 -14.4161 -0.0181425 0.000561965 0.998535 0.0509804 1
452.268 0.943014 -2.23269 -14.4139 -0.01897 0.00154207 0.99855 0.050355 1
452.368 0.94322 -2.21709 -14.4081 -0.0170913 0.00454289 0.99857 0.0504599 1
452.468 0.946743 -2.20186 -14.4017 -0.0171141 0.00713006 0.998536 0.0508239 1
452.568 0.947613 -2.18326 -14.4003 -0.0172384 0.00919063 0.998503 0.051095 1
452.668 0.950373 -2.16505 -14.4001 -0.0173159 0.0106399 0.998478 0.0512762 1
452.768 0.950129 -2.14703 -14.4026 -0.0172394 0.0124667 0.998482 0.0508022 1
452.868 0.952349 -2.12644 -14.4016 -0.0173353 0.0148883 0.99842 0.0513384 1
452.968 0.955674 -2.1028 -14.3986 -0.0189643 0.0131237 0.998376 0.052099 1
453.068 0.958218 -2.07842 -14.398 -0.0195042 0.00845973 0.998429 0.0518486 1
453.168 0.96154 -2.05349 -14.3975 -0.0200828 0.00653817 0.998414 0.0521887 1
453.268 0.964661 -2.02596 -14.3952 -0.019736 0.00506524 0.998425 0.0522805 1
453.368 0.969113 -1.99792 -14.3947 -0.0198118 0.00389371 0.998382 0.0531661 1
453.468 0.972906 -1.97476 -14.393 -0.0194101 0.00331198 0.998402 0.0529676 1
453.568 0.975805 -1.95297 -14.3915 -0.0201284 0.002855 0.998403 0.0527094 1
453.668 0.980324 -1.93079 -14.3904 -0.0207041 0.00202799 0.99842 0.0521962 1
453.768 0.983971 -1.90911 -14.3896 -0.0206546 0.00160706 0.998407 0.0524842 1
453.868 0.988795 -1.88824 -14.391 -0.0208798 -0.000836041 0.998413 0.0523049 1
453.968 0.993016 -1.86856 -14.3924 -0.021945 -0.000435451 0.998397 0.0521756 1
454.068 0.994709 -1.85183 -14.3926 -0.0233911 0.0042415 0.998372 0.0518518 1
454.168 0.996404 -1.83827 -14.3951 -0.0235287 0.00615711 0.99832 0.0525974 1
454.268 0.995768 -1.82278 -14.3919 -0.0210536 0.00768589 0.99831 0.053612 1
454.368 0.997336 -1.8045 -14.3934 -0.0178786 0.00597899 0.998377 0.0537446 1
454.468 0.998383 -1.78593 -14.3954 -0.0217921 0.00175939 0.998285 0.0543049 1
454.563 1.00002 -1.76712 -14.3924 -0.0322842 -0.00143537 0.997986 0.054592 1
